,Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,lat,lng,mark,notes
1835,190246,P & S SURGICAL HOSPITAL,312 GRAMMONT ST SUITE 101,MONROE,LA,71201,OUACHITA,3183884040,Acute Care Hospitals,Physician,No,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,32.500943,-92.11412,,
1836,190250,LOUISIANA HEART HOSPITAL,64030 HIGHWAY 434,LACOMBE,LA,70445,SAINT TAMMANY,9856407500,Acute Care Hospitals,Proprietary,Yes,Y,4,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,30.358068,-89.91664,,
1837,190251,SURGICAL SPECIALTY CENTER OF BATON ROUGE,8080 BLUEBONNET BLVD,BATON ROUGE,LA,70810,EAST BATON ROUGE,2254088080,Acute Care Hospitals,Physician,No,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,30.376501,-91.100604,,
1838,190255,PARK PLACE SURGICAL HOSPITAL,4811 AMBASSADOR CAFFERY PARKWAY,LAFAYETTE,LA,70508,LAFAYETTE,3372378119,Acute Care Hospitals,Proprietary,No,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the national average,,Below the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,30.149798,-92.040114,,
1839,190256,STERLING SURGICAL HOSPITAL,989 ROBERT BLVD,SLIDELL,LA,70458,SAINT TAMMANY,5046908200,Acute Care Hospitals,Proprietary,No,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,30.291723,-89.77085,,
1840,190259,LAFAYETTE SURGICAL SPECIALTY HOSPITAL,1101 KALISTE SALOOM RD,LAFAYETTE,LA,70508,LAFAYETTE,3377694100,Acute Care Hospitals,Physician,No,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,30.175866,-92.02802,,
1841,190263,HEART HOSPITAL OF LAFAYETTE,1105 KALISTE SALOOM ROAD,LAFAYETTE,LA,70508,LAFAYETTE,3375211000,Acute Care Hospitals,Proprietary,Yes,Y,4,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,30.174933,-92.028311,,
1842,190266,THE SPINE HOSPITAL OF LOUISIANA,"10105 PARK ROW CIRCLE, SUITE 250",BATON ROUGE,LA,70810,EAST BATON ROUGE,2257639900,Acute Care Hospitals,Proprietary,No,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,30.38035,-91.093995,,
1843,190267,FAIRWAY MEDICAL CENTER,67252 INDUSTRY LANE,COVINGTON,LA,70433,SAINT TAMMANY,9858016252,Acute Care Hospitals,Physician,No,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,30.408436,-90.082523,,
1844,190268,LAFAYETTE GENERAL SURGICAL HOSPITAL,1000 W PINHOOK RD SUITE 100,LAFAYETTE,LA,70503,LAFAYETTE,3372898095,Acute Care Hospitals,Proprietary,No,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,30.204253,-92.013468,,
1845,190270,SOUTHERN SURGICAL HOSPITAL,1700 W LINDBERG DRIVE,SLIDELL,LA,70458,SAINT TAMMANY,9856410600,Acute Care Hospitals,Physician,No,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,30.273339,-89.755431,,
1846,190274,OCHSNER MEDICAL CENTER KENNER,180 WEST ESPLANADE AVENUE,KENNER,LA,70065,JEFFERSON,5044684806,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,30.02322,-90.27294,,
1847,190278,SPECIALISTS HOSPITAL SHREVEPORT,1500 LINE AVENUE,SHREVEPORT,LA,71101,CADDO,3182133800,Acute Care Hospitals,Physician,No,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,32.49734,-93.746596,,
1848,190297,DOCTORS HOSPITAL AT DEER CREEK L L C,815 SOUTH 10TH STREET,LEESVILLE,LA,71446,VERNON,3373925088,Acute Care Hospitals,Proprietary,No,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,31.135709,-93.268627,,
1849,190298,CENTRAL LOUISIANA SURGICAL HOSPITAL,651 NORTH BOLTON AVE,ALEXANDRIA,LA,71301,RAPIDES,3184496400,Acute Care Hospitals,Physician,No,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,Below the national average,,31.314128,-92.468141,,
1850,190300,ST CHARLES SURGICAL HOSPITAL LLC,1717 ST CHARLES AVE,NEW ORLEANS,LA,70130,ORLEANS,5045296600,Acute Care Hospitals,Physician,No,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,29.937371,-90.07688,,
1851,190302,"OMEGA HOSPITAL, LLC",2525 SEVERN AVENUE,METAIRIE,LA,70002,JEFFERSON,5048494900,Acute Care Hospitals,Proprietary,No,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,29.999152,-90.159295,,
1852,190303,CYPRESS POINTE SURGICAL HOSPITAL,42570 SOUTH AIRPORT RD,HAMMOND,LA,70403,TANGIPAHOA,9855106200,Acute Care Hospitals,Physician,No,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,30.477042,-90.414264,,
1853,190307,SOUTH CAMERON MEMORIAL HOSPITAL,5360 WEST CREOLE HWY,CAMERON,LA,70631,CAMERON,3375424111,Acute Care Hospitals,Proprietary,Yes,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,29.808052,-93.165407,,
1854,190308,ST BERNARD PARISH HOSPITAL,8000 WEST JUDGE PEREZ DRIVE,CHALMETTE,LA,70043,SAINT BERNARD,5048269500,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,29.957043,-89.98842,,
1855,190312,OUR LADY OF THE ANGELS HOSPITAL,433 PLAZA STREET,BOGALUSA,LA,70427,WASHINGTON,9857306700,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,30.778263,-89.868455,,
1856,190313,NEW ORLEANS EAST HOSPITAL,5620 READ BLVD,NEW ORLEANS,LA,70127,ORLEANS,5045926600,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,30.030738,-89.971583,,
1857,191300,ST HELENA PARISH HOSPITAL,16874 HIGHWAY 43,GREENSBURG,LA,70441,SAINT HELENA,2252226111,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,30.831279,-90.666335,,
1858,191301,UNION GENERAL HOSPITAL,901 JAMES AVE,FARMERVILLE,LA,71241,UNION,3183689751,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,32.786422,-92.393092,,
1859,191302,ST MARTIN HOSPITAL,210 CHAMPAGNE BOULEVARD,BREAUX BRIDGE,LA,70517,SAINT MARTIN,3373322178,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,30.282712,-91.890117,,
1860,191303,ASSUMPTION COMMUNITY HOSPITAL,135 HIGHWAY 402,NAPOLEONVILLE,LA,70390,ASSUMPTION,9853693600,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,29.956624,-91.033909,,
1861,191304,NORTH CADDO MEDICAL CENTER,715 SOUTH PINE STREET,VIVIAN,LA,71082,CADDO,3183753235,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,This hospital?s star rating only includes data reported on inpatient services,Same as the national average,,Not Available,Results are not available for this reporting period,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,32.864968,-93.988168,,
1862,191305,ST JAMES PARISH HOSPITAL,1645 LUTCHER AVENUE,LUTCHER,LA,70071,SAINT JAMES,2258695512,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,30.052422,-90.702489,,
1863,191306,WEST FELICIANA PARISH HOSPITAL,5266 COMMERCE STREET,SAINT FRANCISVILLE,LA,70775,WEST FELICIANA,2256353811,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,30.783717,-91.366623,,
1864,191307,DEQUINCY MEMORIAL HOSPITAL,110 WEST 4TH STREET,DEQUINCY,LA,70633,CALCASIEU,3377861200,Critical Access Hospitals,Proprietary,Yes,Y,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,30.451803,-93.437191,,
1865,191308,PREVOST MEMORIAL HOSPITAL,301 MEMORIAL DR,DONALDSONVILLE,LA,70346,ASCENSION,2254737931,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,30.088751,-91.003013,,
1866,191309,HOOD MEMORIAL HOSPITAL,301 W WALNUT STREET,AMITE,LA,70422,TANGIPAHOA,9857489485,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,30.732563,-90.513044,,
1867,191310,FRANKLIN FOUNDATION HOSPITAL,1097 NORTHWEST BLVD,FRANKLIN,LA,70538,SAINT MARY,3378280760,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,29.80187,-91.525272,,
1868,191311,BUNKIE GENERAL HOSPITAL,427 EVERGREEN STREET,BUNKIE,LA,71322,AVOYELLES,3183466681,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,30.952426,-92.176647,,
1869,191312,CHRISTUS COUSHATTA HEALTH CARE CENTER,1635 MARVEL STREET,COUSHATTA,LA,71019,RED RIVER,3189322000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,32.021658,-93.343734,,
1870,191313,RIVERSIDE MEDICAL CENTER,1900 SOUTH MAIN ST,FRANKLINTON,LA,70438,WASHINGTON,9857954431,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,30.83431,-90.15276,,
1871,191314,MADISON PARISH HOSPITAL,900 JOHNSON STREET,TALLULAH,LA,71282,MADISON,3185742374,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,32.403734,-91.185503,,
1872,191315,HARDTNER MEDICAL CENTER,1102 N PINE ROAD,OLLA,LA,71465,LA SALLE,3184953131,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,31.859492,-92.275811,,
1873,191316,POINTE COUPEE GENERAL HOSPITAL,2202 FALSE RIVER DRIVE,NEW ROADS,LA,70760,POINTE COUPEE,2253686386,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,30.682516,-91.461372,,
1874,191317,JACKSON PARISH HOSPITAL,165 BEECH SPRINGS ROAD,JONESBORO,LA,71251,JACKSON,3182594435,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,32.252935,-92.719654,,
1875,191318,RIVERLAND MEDICAL CENTER,1700  WALLACE BLVD,FERRIDAY,LA,71334,CONCORDIA,3187576551,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Not Available,Results are not available for this reporting period,Below the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,31.679984,-92.147356,,
1876,191319,ACADIA ST LANDRY,810 SOUTH BROADWAY STREET,CHURCH POINT,LA,70525,ACADIA,3376845435,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,30.395017,-92.211833,,
1877,191320,BIENVILLE MEDICAL CENTER,1175 PINE STREET,ARCADIA,LA,71001,BIENVILLE,3182634700,Critical Access Hospitals,Proprietary,Yes,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,32.553085,-92.915777,,
1878,191321,LALLIE KEMP MEDICAL CENTER,52579 HIGHWAY 51 SOUTH,INDEPENDENCE,LA,70443,TANGIPAHOA,9858789421,Critical Access Hospitals,Government - State,Yes,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,30.622194,-90.496999,,
1879,191322,ABROM KAPLAN MEMORIAL HOSPITAL,1310 WEST SEVENTH STREET,KAPLAN,LA,70548,VERMILION,3376438300,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,30.008097,-92.297419,,
1880,191323,RICHLAND PARISH HOSPITAL-DELHI,407 CINCINNATI STREET,DELHI,LA,71232,RICHLAND,3188785171,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,32.45285,-91.493976,,
1881,191324,OCHSNER ST ANNE GENERAL HOSPITAL,4608 HIGHWAY 1,RACELAND,LA,70394,LAFOURCHE,9855378377,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,29.703447,-90.564133,,
1882,191325,LADY OF THE SEA GENERAL HOSPITAL,200 WEST 134TH PLACE,CUT OFF,LA,70345,LAFOURCHE,9856326401,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,4,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,29.456859,-90.311471,,
1883,191326,REEVES MEMORIAL MEDICAL CENTER,409 FIRST STREET,BERNICE,LA,71222,UNION,3182859066,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the national average,,Not Available,Results are not available for this reporting period,32.824362,-92.656723,,
